,CustomerID,Recency,RecencyCluster,Frequency,FrequencyCluster,Revenue,RevenueCluster,OverallScore,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,Segment_High-Value,Segment_Low-Value,Segment_Mid-Value,NextPurchaseDayRange
0,14740.0,91,1,93,0,1423.21,0,1,6.0,34.0,92.0,30.666666666666668,26.102362600602522,False,True,False,0
1,13880.0,45,2,71,0,1372.76,0,2,41.0,72.0,93.0,34.5,10.754843869934453,False,True,False,0
2,17068.0,10,3,140,1,2405.54,0,4,25.0,37.0,38.0,17.3,11.045863982102581,False,False,True,2
3,12971.0,7,3,146,1,5959.04,1,5,3.0,7.0,19.0,5.333333333333333,3.6199677714955785,True,False,False,2
4,16915.0,27,3,31,0,382.39000000000004,0,3,41.0,121.0,156.0,52.0,24.43358344574123,False,False,True,0
5,15194.0,22,3,111,1,2240.17,0,4,4.0,48.0,68.0,17.88888888888889,14.048527008591012,False,False,True,1
6,18044.0,66,2,71,0,1031.28,0,2,32.0,33.0,83.0,23.4,20.044949488586894,False,True,False,0
7,18075.0,6,3,77,0,1306.8700000000001,0,3,55.0,57.0,98.0,29.5,22.456624857711812,False,False,True,1
8,15241.0,27,3,92,0,1327.01,0,3,28.0,56.0,65.0,26.0,28.474550040343043,False,False,True,0
9,17811.0,12,3,207,1,2005.07,0,4,8.0,15.0,29.0,10.6875,5.437140792732886,False,False,True,2
10,15971.0,8,3,16,0,1347.45,0,3,33.0,48.0,134.0,35.0,29.740544715926102,False,False,True,2
11,15311.0,12,3,1061,2,31277.65,2,7,1.0,4.0,9.0,4.75,3.417392489687339,True,False,False,2
12,14732.0,6,3,85,0,1405.3,0,3,37.0,80.0,114.0,44.25,13.047988350699887,False,False,True,2
13,14688.0,29,3,162,1,2361.17,0,4,12.0,21.0,35.0,17.11111111111111,7.817359599705717,False,False,True,1
14,17965.0,34,3,139,1,1147.63,0,4,7.0,20.0,30.0,29.8,33.84819049816401,False,False,True,1
15,15660.0,17,3,46,0,626.1899999999999,0,3,18.0,79.0,87.0,41.5,33.96566894183989,False,False,True,1
16,14676.0,47,2,29,0,1687.17,0,2,60.0,63.0,70.0,34.0,33.61547262794322,False,True,False,0
17,16839.0,9,3,147,1,7957.51,1,5,12.0,22.0,31.0,10.875,8.0156097709407,True,False,False,1
18,12747.0,9,3,50,0,1760.09,0,3,55.0,89.0,109.0,43.5,20.305992547357377,False,False,True,1
19,13599.0,50,2,67,0,1550.57,0,2,6.0,34.0,41.0,19.0,15.329709716755891,False,True,False,0
20,16525.0,17,3,113,1,6131.88,1,5,11.0,21.0,40.0,11.066666666666666,6.181385266226642,True,False,False,2
21,14560.0,9,3,19,0,744.28,0,3,25.0,53.0,87.0,24.857142857142858,20.594728867913197,False,False,True,2
